title,rating,date,author,content,developerResponse,version,voteCount,voteSum
"Low grade POS riding on coat tails",2,2022-10-28T05:56:50-07:00,Willdds83,"What integration?

Outside of the US this is a useless app!",,7.11.0,0,0
"WisePad3 is the most useless thing",1,2022-08-08T21:59:09-07:00,Luke Bald 1992,"WisePad3 in Australia is the most useless device ever. I wish I never switched from Square but I have to deal with it now. We spend 20 mins per day trying to connect the device. I have 3 of them and Shopify has sent me a replacement one for one of them. Nothing has changed. If you want to pay your staff $30 per hour to connect this device every day, go for it.",,7.5.1,0,0
"Update causing issues",5,2022-05-30T19:26:47-07:00,Runway 87,"I have just updated and since then my pos keeps locking up, needing to lodged in, won't log in, and prints 3x receipts every time. I have done the adjustment's suggested but we are still having issues",,7.0.2,1,1
"Won't save PIN",1,2022-04-22T00:58:02-07:00,Pat & Stu,"Can't get past the set PIN page. Won't save, so can't use the app at all.",,6.79.1,0,0
"Useless and overpriced by far",1,2022-03-09T05:42:36-07:00,adam hates shopify,"Do not buy this",,6.79.0,0,0
"So easy",5,2021-11-29T00:16:49-07:00,iamtess,"This makes selling from anywhere possible. Easy to setup and use.",,6.69.0,0,0
"New update thumbs down",1,2021-10-26T21:04:50-07:00,StormageddonJess,"The new update leaves a little bit to be desired. Grid view of products is gone along with side scrolling through grid view. Cannot find a way to get it back.",,6.66.0,0,0
"App does not support EPSON receipt printer",2,2021-08-08T22:38:33-07:00,Jenjen77777777,"Buyer beware! 

This app is good except, if you want to print reciepts, the EPSON model they have suggested DOES NOT CONNECT. 

No one will help but they are ""very concerned"" and ""someone will email you"" I don't know when but it hasn't happened yet",,6.54.0,0,0
"Terrible Update",1,2021-07-20T22:35:51-07:00,Whereeaglesdare79,"The new layout is terrible, the functionality is gone, every process takes you to another screen. Was this made by someone who has never used a POS before? How do you go back to the old erosion without paying the ridiculous fees being charged. This is enough t make change from Shopify and I have been a customer for six years!",,6.52.0,0,0
"Not worth the cost on the pro plan",1,2021-04-17T02:00:48-07:00,Ipod dreams,"Run an Aussie business using Shopify. The pro pos plan is expensive to run in Australia. I will be switching to another product that has all the pos features a retail business need.",,6.40.0,0,0
"POS",1,2021-03-31T16:03:39-07:00,My Giirlfriend and I,"I WISH YOU WOULD LEAVE THE WAY THE SCREEN LOOKS NOT JUST CHANGE IT.     I HATE THIS !!!!!!!",,6.37.0,0,0
"Very expensive",1,2021-02-26T16:53:16-07:00,petertri,"I used to love this app last year before there was a pro version for consideration. But now it just seems like a very very expensive POS app.  As many others have said prior, it's extortion and I doubt that they will reduce the cost despite so many complaints. Fair is fair but I feel this is way overpriced. It really needs to be reduced by half at least....
Adding further insult, the latest update has made my app sooo slow too so I'll be on the lookout for a new system, especially if this price stays the same.
You guys are a business and it's fine to make a fair profit but you guys got really greedy.",,6.32.0,0,0
"Very expensive",3,2021-01-31T22:20:23-07:00,missgigiboutique,"Really like the POS and all linked to the website but so expensive. I've never used the old version so can't compare. I think they need to look at the costs. I'm paying over $150 aud per month then get hit with international transaction fees from the bank.",,6.29.0,2,1
"Getting Greedy",2,2021-01-28T17:44:50-07:00,Macozarian,"Agreed the changes to the pricing for POS is ridiculous and the other options available are looking much better again.

Can't even add missing/new products directly from the POS app anymore either now. Costs more has less features 👎",,6.28.0,0,0
"Bring back the old",1,2021-01-11T20:32:16-07:00,bobrob612,"I used to love shopify and spoke highly of the software for quite some time. Unfortunately within the past year with major updates like the barcode printer and pos software has left me searching for a new system to use. The new register app doesn't even tell you how much you've earned for the day.",,6.27.0,0,0
"Shopify pos to slow",1,2021-01-09T18:51:10-07:00,slotzcarz,"To find your product, then try and enter it as a sale is too slow a process with the hardware compatible in Australia",,6.27.0,0,0
"Extortion",1,2020-12-03T15:13:51-07:00,Bear1986,"I used to love shopify. Over time I've realised I've invested so much time in to this system that I've made myself vulnerable to their ad-hoc changes and price hikes. You cannot trust that the features you have today will be there tomorrow. Or, if the features you need will be moved beyond a paywall that is more than 100% higher than your current costs. Basically, you can't trust them to have your back. 

Don't get this point of sale program if you're a new business, small business, or start-up. Don't get this system ESPECIALLY if you're a single store brick-and-mortar. The basic features you need are not there (being able to save a cart or make an exchange). The basic features are behind the much more expensive tier of pricing. 

Shopify leave out key functions and then advise you to purchase (subscribe) to third party apps to bring those functions in. So, the actual cost of a working system is FAR HIGHER THAN YOU THINK. 

Just, don't do it.",,6.26.2,0,0
"Bad ratings",1,2020-11-29T22:47:43-07:00,shop agent,"Their new version is hopeless,makes everything more complicated 
Takes forever to find a product. Massive mistake to launch this useless product.",,6.26.2,0,0
"What a rip off this is now. So unhappy",2,2020-11-25T19:33:15-07:00,ckcybkt,"Massivley disappointed in this new upgrade. Unless we fork put a small fortune each month x several locations, all the features we had previously have now been removed. We already pay a lot of money to shopify and now on top of that they want USD $90 per month, per location, to access the features we've already had for years? So unimpressed. Now is not the time to be doing something like this to merchants that were relying on the POS to keep our businesses running! The layout is also awful. Big thumbs DOWN from us!
And in response to the comment left by Shopify, I think you guys are seriously out of touch with your customers. This basic LITE version doesn't even have an ability to exchange?! For an instore POS system, you have to go through a crazy process of doing a refund, emailing the customer a gift card, waiting till that comes through on their phone (if they have it with them), using the gift card to credit the balance. Have you ever experienced that process yourselves in store as either a retailer or a consumer? It's insane. 
Thank you for the suggestion of contacting your support. I did that, and then waited 9 days for a response. If I could give this review negative stars I would do so!",,6.26.2,1,1
"New pricing model is extortion",1,2020-11-25T15:03:51-07:00,My Eyez are bleeding,"The switch to the new pricing model for POS Pro/Lite is an absolute ripoff.

Essential features that were present in the previous (free) POS are suddenly placed behind a forced upgrade and a steep paywall, right in the middle of some of the most challenging economic conditions we've ever seen.

You are effectively holding small businesses hostage with this change and we will be reporting this to the ACCC.

You should be ashamed of yourselves.",,6.26.2,0,0
"Very disappointing",1,2020-11-20T17:00:59-07:00,kids streetwear,"We have been using POS for years and now to access the same features we had you want us to pay $90 usd per location per month! Which is Absolutely crazy. Just add the ability to exchange items in the lite option would be helpful.",,6.26.2,0,0
"ISSUES WITH NEW POS LITE ..not happy at all",1,2020-11-17T00:05:36-07:00,natkarl,"New POS LITE
- can't save multiple customer cart anymore 
- can't do a quick exchange for customer in our shop .. coming in to busy time instore and ridiculous to only have refund option now as we only exchange 
- can't do layby 
- already pay enough each month to then lose features we are use to and have to pay lots of $$$ 
Time to look elsewhere to get what I need for my small business unless we get the features back
YOU CHARGED US FOR POS PRO !!! 😡 AND WE ONLY HAVE AND USE THE NEW AND AWFUL POS LITE as we can't afford to pay you anymore than we already do 
FIX IT URGENTLY",,6.26.1,0,0
"New POS upgrade needs work URGENTLY",1,2020-11-06T02:01:34-07:00,Sarah atkins,"I LOVED the previous Shopify pos app. 

It HAD all the features we need. 

Since upgrading, I do not believe we should have to pay US $85/month just to be able to have the same functions and features as we had before. That's roughly AU$125-$130 PER MONTH.   

We're now missing the ability to: 

1.     Initiate a lay-by (partially paid order) 
This is an enormous oversight and needs urgent attention. OR if the ability exists, some instruction on how to. 
URGENT ATTENTION REQUIRED. 

2.    Search for a partially paid order using the customer name, the process which makes the most sense. We now have to scroll through the list of orders (all orders) to see which ones are partially paid, it's impossible. 
URGENT ATTENTION REQUIRED. 

3.    Staff pins? Trying to issue my staff a PIN number via admin as can't work how to do it in POS app.  (they had one each before, 5 staff in total) and all I get is ""Pin is already taken"". Plus I can't see my staff listed in Shopify admin. 
AGAIN, URGENT ATTENTION REQUIRED. 

4.    The ""add custom sale"" tile takes you to a screen where it's very easy to add the amount, BUT the design and layout really leads you to press the ""+1"" button rather than the ""add to cart"" button which seems quite hidden in the top right corner. 
URGENT ATTENTION REQUIRED. 

5.    Add to cart. Paying an extra $85 (US!) per month is an extreme extra cost for a feature that was previously included as standard. The technology has not changed for this feature. 
URGENT ATTENTION REQUIRED.  

6.   Remove extra steps. Please, to be exact,  a fourth option in the bottom row toolbar, that is a simple ""back to checkout"" option. I should not have to press 5 buttons (at minimum) to get back to the cart page. It takes valuable time and is extremely frustrating. 
URGENT ATTENTION REQUIRED. 

Speed and accuracy are the most important things to consider in a busy retail environment.

This upgrade has so much potential, but considering the above is clunky and does not consider the merchant in a retail environment at all. 

If you're going to upgrade and rebuild an app in complete usability and layout, then the existing services should still be available for the same subscription rate. We're already paying for a system which now has LESS features, and your profit is going up, right? 

These matters need urgent attention, as we are heading into the Christmas period and cannot afford more time and money spent for a system that worked perfectly well before the update. 

It pains me to consider looking at other options than Shopify. I do not want to retrain my staff, or rebuild my store or POS system. 

Please fix these issues as a matter of extreme urgency. 
In the future when an upgrade is planned (BEFORE it is implemented) I strongly suggest deeper level merchant liaison and feedback, and restructure based on this feedback. 

Still a Shopify fan, just not a happy one at the moment. 
As previously mentioned, the above mentioned matters were already standard prior to the upgrade. 

Isn't Shopify as a corporation making enough money from subscriptions and Addons and percentages of online sales, without adding on the massive new POS fees just for the same features we had?

Please work these UX issues out as a matter of urgency, or my money (your profit) walks.",,6.25.1,0,0
"Unhappy with new Look",1,2020-11-02T12:50:31-07:00,Toddy.B,"Very unhappy with the new layout and look, bring back the ability to save a cart",,6.25.0,0,0
"Shopify have done it",5,2020-11-01T20:54:31-07:00,hasan27,"Incredibly stable. Has increased our closure rate significantly. Reduces staff and warehouse Costs. Streamlines internal logistics for local deliveries. Increases margin with more relevant product info at fingertips. So intuitive. Flexible. Fast. Easy. Reinvigorates sales teams. Thanks Shopify. The platform to end all platforms.",,6.25.0,0,0
"Terrible",1,2020-10-27T23:05:35-07:00,tfhmcghmchgchg,"The search features are woeful. You can customise categories but no search feature? Redic",,6.24.0,0,0
"Need after pay integration",2,2020-08-11T19:49:02-07:00,Dollarmites,"Waste of time if we can't accept afterpay",,6.13.1,0,0
"what a joke",1,2020-07-12T03:42:01-07:00,RetailB,"If could only give minus stars!!!!!
Waste of time and energy!
Very frustrating! dont live up to the hype! 

Im only talking about performance in AU
One note... if your not fully ready to roll out in AU DON'T !
no payment intergration! for a busy store this is a must! manual payment processing is dangerous since it can cause errors! 

mpop intergrations dont work.
After trying thousand times to print receipt and scan barcodes!!!!
Support told us mpop dont work in AU!

Excuse me.... but it is jn recomended hardware.

in summary very disapointed!",,6.9.1,0,0
"Very disappointing",1,2020-05-28T16:17:19-07:00,Lemmons Store,"We have used the previous version for a few years, it isn't perfect but you can do what you need. The new version is very average, has all these new features that are supposed to make it great but hasn't addressed any of the previous things that needed fixing. Now it is going to cost much more. Basic functions like scanning products are very glitchy, sometimes work easily sometimes don't work at all with the scanner we have used for over 2 years. Very average product for the price now, would be fine if your needs were very basic, if you have products with lots of variants, customer accounts, accept appro's & returns, need accounts to sub total for customer payments, find one that at least you get the features you need for the money.",,6.3.0,0,0
"Basics covered. Not yet ready for Australia",2,2019-07-23T04:30:04-07:00,Tobias G,"Good overall POS with some decent features. 
Simple features missing though such as cash rounding, fulfilment at POS, TYRO integration (or other EFTPOS terminal), and global sales holds. 
Having a diverse range of apps to select from is ok, but some basics could be covered out of the box such as the ability to process/retrieve a saved draft order via POS rather than having to pay for an app to be able to do this.",,5.33.0,0,0
"Love it!",2,2019-07-18T15:53:18-07:00,LJR.AU,"We use POS for our pop up shops through Australia and its been nothing but amazing. 
The only thing that could make it better is barcode password for staff instead of numbers.",,5.32.0,0,0
"Keeps crashing",1,2019-06-25T20:46:13-07:00,sall00,"New update keeps crashing. Disappointing.",,5.29.0,0,0
"Garbage",1,2019-05-10T03:22:12-07:00,Allsdeapps,"What is up with Shopify and making the most useless software where you need 1000 apps to get anything done properly.",,5.22,0,0
"Requires some development still",2,2018-11-07T14:53:58-07:00,Lachlan7,"Shopify POS is sluggish when processing transactions. We have download internet speed of over 100mbps yet the pos takes a long time to process (compared to square).
In Australia our staff would like to see:
- Integrated with payment eftpos terminals such as tyro
- Fast transaction button to quickly take cash/card. There are too many buttons/pages to press in one transaction. Especially when you try square and their system is so quick and easy!
- Drag and drop products on the homescreen instead of them listed in alphabetical order
- Staff login needs improving. The pin system isn't efficient as with multi sites and huge staff, pin codes are taken and easy to use another persons login

For the money you pay for POS being $50 usd per month, you would expect a better faster, easy pos system.",,5.2.2,0,0
"Great app but found a Bug",4,2018-09-26T21:50:07-07:00,IvanXSH,"Great App after adding the multiple location inventory function.

Found a bug: Cannot choosing collections when iPad 'Guided Access' function started.

Thanks",,5.1.0,0,0
"Won't load",1,2018-09-07T03:50:00-07:00,Bluebirdfreebird,"Won't import my store, continually asks to retry and still won't load store even after reinstall. Might have to change back to my wix store so I can use POS at markets again instead of losing sales",,5.0.2,0,0
"It's ok",2,2018-07-19T10:20:09-07:00,Diluxdi,"Would love the ability to import customer details from stored phone records and to take part payments on invoices. Good but could be awesome with some work",,4.8,0,0
"New to Shopify",3,2018-07-18T14:34:45-07:00,dollwise,"I love the functionality of this system and how intuitive it is. It would be so much better if I could add the wholesale cost of an item to the backend. This would make stocktake so much easier and end of financial year reports a breeze. Please consider adding this to further enhancements.",,4.7.6,0,0
"4 years, still no cash rounding",1,2018-04-18T06:12:29-07:00,DylMusicMan,"Been using Shopify for almost 4 years but have encountered non-stop accounting workload since opening a physical store in 2016, all because this app STILL doesn't have cash rounding. Every time I ask, I get told ""it's on the roadmap"". Oh well. At least I'm moving my business to an app that works.",,4.5,0,0
"Great app, except missing one big business criteria.",4,2018-02-20T16:26:33-07:00,Mcintyreslady,"Have been enjoying the App and how organized I can keep my sales and inventory. I love the instant receipts to my customers.  My only issue is I have no way to enter my costs and get reports on profits from my sales. This would be ideal.",,4.3,0,0
"So handy for market businesses",4,2017-12-09T17:50:42-07:00,Brinno,"We use this app to track sales at our market. It's great because it keeps our stock up to date on the website instantly. Easy to use and immediately updates in Shopify reports etc.

Two requests:

1) can you create a location prompt when opening the app (at least at start of day), I have staff that forget to swap locations and then the reports don't match. 
Or a way to change location in order if it's entered incorrectly?

2)when is the Shopify POS payments mobile swipe machine going to be available in Australia?

Thank you.",,4.1.5,1,0
"It's ok",3,2017-06-03T20:52:45-07:00,Yolo Aussie,"Would be nice to link with credit cards for payments .",,3.12.2,0,0
"Ms",5,2016-03-31T23:50:05-07:00,Bhoem,"Love this app, I'm in Australia and use an external eftpos provider.",,3.6.6,0,0
"Can't accept payments without card reader",1,2016-03-31T02:41:51-07:00,Meowyyyy12344,"Not worth it- doesn't work with Australian businesses",,3.6.6,0,0
"Mr",1,2016-01-12T17:34:07-07:00,Adtyh,"Horrible- freezes constantly and needs rest all the time. Get it fixed",,3.6,0,0
"Orders tab not suitable for multiple locations",1,2014-10-09T05:08:26-07:00,Hannahgorg,"This app has one major flaw for companies that have more than one physical location.

Currently if a sale is made in ""store 1"" the staff in ""store 2"" can see the sale in the ""orders"" tab. In fact they can see every sale your entire business makes. I do not want my staff to know my turnover figures. It can also discourage staff from trying if they can see another store is hitting the targets for them.

Perhaps a ""show only orders from this ipad"" in the location setting. Or an option to limit the ""POS only"" staff to only seeing orders from the iPads location.",,2.1.2,0,0
"Fantastic worked straight away",5,2013-09-11T19:42:21-07:00,Rweetbix,"This is a great app, easy to setup and use.  It'll be great when Laybys are allowed.",,1.0.3,0,0
